gene,trait
ELFN1,Type 2 diabetes
MIR4303,Type 2 diabetes
SLC9A7P1,Type 2 diabetes
AVPR1A,Type 2 diabetes
DPY19L2,Type 2 diabetes
SPTB,Type 2 diabetes
HACE1,Type 2 diabetes
CDH2,Type 2 diabetes
MIR302F,Type 2 diabetes
TCAF2,Type 2 diabetes
CTAGE6,Type 2 diabetes
LOC440982,Type 2 diabetes
AGTR1,Type 2 diabetes
TAF12,Type 2 diabetes
OR7A17,Type 2 diabetes
OR7C2,Type 2 diabetes
LOC103344931,Type 2 diabetes
LINC01309,Type 2 diabetes
DAOA-AS1,Type 2 diabetes
ANO4,Type 2 diabetes
PPARA,Type 2 diabetes
EIF4E3,Type 2 diabetes
DSC3,Type 2 diabetes
LRRC32,Type 2 diabetes
GUCY2EP,Type 2 diabetes
APCDD1L-AS1,Type 2 diabetes
LINC01310,Type 2 diabetes
HDGFL1,Type 2 diabetes
NRSN1,Type 2 diabetes
UNC5C,Type 2 diabetes
C1orf168,Type 2 diabetes
ST18,Type 2 diabetes
DEPDC1-AS1,Type 2 diabetes
LRRC7,Type 2 diabetes
LINC00544,Type 2 diabetes
KATNAL1,Type 2 diabetes
LINC00574,Type 2 diabetes
LOC102724511,Type 2 diabetes
AP3B1,Type 2 diabetes
LOC401177,Type 2 diabetes
CDH18,Type 2 diabetes
DLG2,Type 2 diabetes
MIR548W,Type 2 diabetes
LOC101927394,Type 2 diabetes
LMCD1-AS1,Type 2 diabetes
PTPN11,Multiple sclerosis
SFMBT1,Multiple sclerosis
SGSM2,Multiple sclerosis
LINC00423,Multiple sclerosis
FAM221B,Multiple sclerosis
LCN6,Multiple sclerosis
RORA,Multiple sclerosis
MEF2C,Multiple sclerosis
PDE4B,Multiple sclerosis
TNIP2,Multiple sclerosis
PAPOLG,Multiple sclerosis
BCL2L11,Multiple sclerosis
SLA,Multiple sclerosis
TG,Multiple sclerosis
LINC01353,Multiple sclerosis
IRF8,Multiple sclerosis
L3MBTL3,Multiple sclerosis
RASGEF1A,Multiple sclerosis
MINK1,Multiple sclerosis
AKAP13,Multiple sclerosis
MLLT10,Multiple sclerosis
SVILP1,Multiple sclerosis
MYO5B,Multiple sclerosis
LINC00708,Multiple sclerosis
IKZF2,Multiple sclerosis
NAB1,Multiple sclerosis
ENTHD1,Multiple sclerosis
EXOC2,Multiple sclerosis
CASP8,Multiple sclerosis
UNK,Multiple sclerosis
SMARCA4,Multiple sclerosis
CCDC12,Multiple sclerosis
FBXO45,Multiple sclerosis
ANKRD36BP2,Multiple sclerosis
COG6,Multiple sclerosis
TMEM244,Multiple sclerosis
RGCC,Multiple sclerosis
B4GALT5,Multiple sclerosis
RPS6KA5,Multiple sclerosis
ZBTB38,Multiple sclerosis
LOC101928435,Multiple sclerosis
SCAF11,Multiple sclerosis
TRIM71,Multiple sclerosis
ARHGAP26,Multiple sclerosis
MAPK3,Multiple sclerosis
POU2AF1,Multiple sclerosis
LIPG,Multiple sclerosis
DIRAS2,Multiple sclerosis
MAP3K14,Multiple sclerosis
MPO,Multiple sclerosis
ALPK2,Multiple sclerosis
CD58,Multiple sclerosis
HLA-DRB1,Multiple sclerosis
HLA-B,Multiple sclerosis
IL12A,Multiple sclerosis
IL2RA,Multiple sclerosis
TNFRSF1A,Multiple sclerosis
CXCR4,Multiple sclerosis
CLEC16A,Multiple sclerosis
IL7R,Multiple sclerosis
CD6,Multiple sclerosis
PTGER4,Multiple sclerosis
MPHOSPH9,Multiple sclerosis
ZMIZ1,Multiple sclerosis
RPL5,Multiple sclerosis
EVI5,Multiple sclerosis
CYP27B1,Multiple sclerosis
METTL1,Multiple sclerosis
CD40,Multiple sclerosis
NR,Multiple sclerosis
ASAP1,Multiple sclerosis
DDEF1,Multiple sclerosis
MLANA,Multiple sclerosis
THADA,Multiple sclerosis
STAT3,Multiple sclerosis
IL12B,Multiple sclerosis
KPNB1,Multiple sclerosis
TBX21,Multiple sclerosis
TBKBP1,Multiple sclerosis
ILDR1,Multiple sclerosis
CD86,Multiple sclerosis
TAGAP,Multiple sclerosis
TNP2,Multiple sclerosis
PRM3,Multiple sclerosis
PRM2,Multiple sclerosis
PRM1,Multiple sclerosis
C16orf75,Multiple sclerosis
EOMES,Multiple sclerosis
EPS15L1,Multiple sclerosis
FBXO48,Multiple sclerosis
C2orf13,Multiple sclerosis
PLEK,Multiple sclerosis
HLA,Multiple sclerosis
DBC1,Multiple sclerosis
HLA-DRA,Multiple sclerosis
KIAA0350,Multiple sclerosis
IL7RA,Multiple sclerosis
KIF1B,Multiple sclerosis
PDZRN4,Multiple sclerosis
SLC25A36,Multiple sclerosis
MGC45800,Multiple sclerosis
GPC5,Multiple sclerosis
CSMD1,Multiple sclerosis
SH3GL2,Multiple sclerosis
C20orf46,Multiple sclerosis
DDEF2,Multiple sclerosis
EN1,Multiple sclerosis
ZIC1,Multiple sclerosis
YWHAG,Multiple sclerosis
TRIM2,Multiple sclerosis
LOC100289506,Multiple sclerosis
POPDC3,Multiple sclerosis
SLC30A7,Multiple sclerosis
VCAM1,Multiple sclerosis
SOX8,Multiple sclerosis
SYK,Multiple sclerosis
TNFSF14,Multiple sclerosis
ZFP36L1,Multiple sclerosis
ZNF767,Multiple sclerosis
ZNF746,Multiple sclerosis
CYP24A1,Multiple sclerosis
DLEU1,Multiple sclerosis
FCRL3,Multiple sclerosis
MAF,Multiple sclerosis
MPV17L2,Multiple sclerosis
MYNN,Multiple sclerosis
NFKBIZ,Multiple sclerosis
THEMIS,Multiple sclerosis
PTPRK,Multiple sclerosis
RGS1,Multiple sclerosis
SAE1,Multiple sclerosis
SP140,Multiple sclerosis
KIAA0564,Multiple sclerosis
MALT1,Multiple sclerosis
MAMSTR,Multiple sclerosis
NFKB1,Multiple sclerosis
MANBA,Multiple sclerosis
MAPK1,Multiple sclerosis
MERTK,Multiple sclerosis
MMEL1,Multiple sclerosis
MYB,Multiple sclerosis
MYC,Multiple sclerosis
OLIG3,Multiple sclerosis
NCOA5,Multiple sclerosis
NDFIP1,Multiple sclerosis
ODF3B,Multiple sclerosis
SCO2,Multiple sclerosis
IL7,Multiple sclerosis
PKIA,Multiple sclerosis
PLCL2,Multiple sclerosis
PVR,Multiple sclerosis
PVT1,Multiple sclerosis
RGS14,Multiple sclerosis
RPS6KB1,Multiple sclerosis
RREB1,Multiple sclerosis
AGAP2,Multiple sclerosis
AHI1,Multiple sclerosis
BACH2,Multiple sclerosis
BATF,Multiple sclerosis
C1orf106,Multiple sclerosis
KIF21B,Multiple sclerosis
C3orf1,Multiple sclerosis
TMEM39A,Multiple sclerosis
CD5,Multiple sclerosis
CDC37,Multiple sclerosis
TYK2,Multiple sclerosis
CHST12,Multiple sclerosis
CLECL1,Multiple sclerosis
CXCR5,Multiple sclerosis
DDAH1,Multiple sclerosis
DKKL1,Multiple sclerosis
EXTL2,Multiple sclerosis
GPR65,Multiple sclerosis
HHEX,Multiple sclerosis
IL22RA2,Multiple sclerosis
TCF7,Multiple sclerosis
SLC15A2,Multiple sclerosis
DRB1,Multiple sclerosis
ZBTB46,Multiple sclerosis
ZNF438,Multiple sclerosis
C6orf10,Multiple sclerosis
VAV2,Multiple sclerosis
DQA1,Multiple sclerosis
ZNF433,Multiple sclerosis
CBLB,Multiple sclerosis
HLA-DQB1,Multiple sclerosis
HLA-DRB,Multiple sclerosis
ATXN1,Multiple sclerosis
PRNCR1,Multiple sclerosis
VANGL2,Multiple sclerosis
STAT4,Multiple sclerosis
TOX2,Multiple sclerosis
CD28,Multiple sclerosis
DOCK10,Multiple sclerosis
LRRC34,Multiple sclerosis
TRIM14,Multiple sclerosis
RHOH,Multiple sclerosis
ASF1A,Multiple sclerosis
ALDH1L1,Multiple sclerosis
BCL2,Multiple sclerosis
ZNF767P,Multiple sclerosis
LOC100505625,Multiple sclerosis
IFNGR2,Multiple sclerosis
RAD51B,Multiple sclerosis
JADE2,Multiple sclerosis
CBFA2T3,Multiple sclerosis
IL10RB,Multiple sclerosis
OS9,Multiple sclerosis
CDHR3,Multiple sclerosis
TGFBR3,Multiple sclerosis
ABI3BP,Multiple sclerosis
WWOX,Multiple sclerosis
IL20RA,Multiple sclerosis
SLC2A4RG,Multiple sclerosis
GTDC1,Multiple sclerosis
TIMMDC1,Multiple sclerosis
RGS21,Multiple sclerosis
JAK1,Multiple sclerosis
ATP6V1G3,Multiple sclerosis
BCL9L,Multiple sclerosis
LINC01146,Multiple sclerosis
CD200R1,Multiple sclerosis
MCL1,Multiple sclerosis
ZBTB7B,Multiple sclerosis
NADK,Multiple sclerosis
FAM167B,Multiple sclerosis
LCK,Multiple sclerosis
PDE3B,Multiple sclerosis
SOCS1,Multiple sclerosis
SLC7A6OS,Multiple sclerosis
CDH3,Multiple sclerosis
MIR4435-1HG,Multiple sclerosis
LINC00603,Multiple sclerosis
MIR1208,Multiple sclerosis
INTS8,Multiple sclerosis
KIF27,Multiple sclerosis
C5orf56,Multiple sclerosis
FAM167A-AS1,Multiple sclerosis
JAZF1,Multiple sclerosis
PRICKLE1,Multiple sclerosis
TBX6,Multiple sclerosis
GALC,Multiple sclerosis
ETS1,Multiple sclerosis
LOC152225,Multiple sclerosis
LOC100129203,Multiple sclerosis
ETV3L,Multiple sclerosis
KCP,Multiple sclerosis
NCOR2,Multiple sclerosis
ZNHIT3,Multiple sclerosis
IFI30,Multiple sclerosis
ZHX3,Multiple sclerosis
PHGDH,Multiple sclerosis
C4orf32,Multiple sclerosis
LINC00271,Multiple sclerosis
LOC645434,Multiple sclerosis
DRAP1,Multiple sclerosis
HTR3A,Multiple sclerosis
GFI1,Multiple sclerosis
ELMO1,Multiple sclerosis
PHKG1,Multiple sclerosis
MYBPC3,Multiple sclerosis
FLJ38122,Multiple sclerosis
LTBR,Multiple sclerosis
CD226,Multiple sclerosis
BCAS1,Multiple sclerosis
BCL6,Multiple sclerosis
MCTP1,Multiple sclerosis
AFF1,Multiple sclerosis
RDX,Multiple sclerosis
TET2,Multiple sclerosis
APOA5,Multiple sclerosis
ERG,Multiple sclerosis
LOC102724874,Multiple sclerosis
ZNF652,Multiple sclerosis
ESPN,Multiple sclerosis
FAM71B,Multiple sclerosis
TNFAIP8,Multiple sclerosis
PHLDB1,Multiple sclerosis
IFITM3,Multiple sclerosis
C1orf52,Multiple sclerosis
CLDN7,Multiple sclerosis
DLL4,Multiple sclerosis
SCAMP2,Multiple sclerosis
NGRN,Multiple sclerosis
MIR100HG,Multiple sclerosis
FAM213B,Multiple sclerosis
RUNX3,Multiple sclerosis
SMG6,Multiple sclerosis
CNR2,Multiple sclerosis
TXK,Multiple sclerosis
FUCA2,Multiple sclerosis
MIR1204,Multiple sclerosis
IGSF23,Multiple sclerosis
MAPK10,Multiple sclerosis
ATF1,Multiple sclerosis
RNU6-19P,Multiple sclerosis
LOC101926892,Multiple sclerosis
PITPNM2,Multiple sclerosis
CLEC2D,Multiple sclerosis
NR1D1,Multiple sclerosis
BATF3,Multiple sclerosis
HBS1L,Multiple sclerosis
CTSH,Multiple sclerosis
SLAMF1,Multiple sclerosis
NPEPPS,Multiple sclerosis
LPCAT1,Multiple sclerosis
MIR548AN,Multiple sclerosis
IL12A-AS1,Multiple sclerosis
DDX6,Multiple sclerosis
LINC01108,Multiple sclerosis
ITPR1,Multiple sclerosis
BHLHE40,Multiple sclerosis
LOC399715,Multiple sclerosis
VMP1,Multiple sclerosis
LOC102723854,Multiple sclerosis
PDE4A,Multiple sclerosis
IL6,Multiple sclerosis
TRAF3,Multiple sclerosis
LY86,Multiple sclerosis
RCOR1,Multiple sclerosis
HORMAD1,Multiple sclerosis
UBXN6,Multiple sclerosis
LOC101927686,Multiple sclerosis
DNMT3A,Multiple sclerosis
PRR5L,Multiple sclerosis
GATA3,Multiple sclerosis
FAM69A,Multiple sclerosis
SLC6A16,Multiple sclerosis
ZNF365,Multiple sclerosis
TNIP3,Multiple sclerosis
MTHFR,Multiple sclerosis
PTEN,Multiple sclerosis
KLF3,Multiple sclerosis
LOC101929282,Multiple sclerosis
EPPK1,Multiple sclerosis
SH2B3,Multiple sclerosis
CSF2RB,Multiple sclerosis
ZNF217,Multiple sclerosis
SIDT1,Multiple sclerosis
GRB2,Multiple sclerosis
LIMK2,Multiple sclerosis
MARCH1,Multiple sclerosis
GIMAP6,Multiple sclerosis
LPP,Multiple sclerosis
NUDT12,Multiple sclerosis
DPP4,Multiple sclerosis
CAMK2G,Multiple sclerosis
SPRED2,Multiple sclerosis
PRDX5,Multiple sclerosis
TERT,Multiple sclerosis
UBE2E3,Multiple sclerosis
CR1L,Multiple sclerosis
NCF4,Multiple sclerosis
CRTAP,Multiple sclerosis
PLXNC1,Multiple sclerosis
LOC101928304,Multiple sclerosis
ARHGEF3,Multiple sclerosis
SATB1-AS1,Multiple sclerosis
IKZF3,Multiple sclerosis
LEF1,Multiple sclerosis
MRGPRE,Multiple sclerosis
ARHGEF10,Multiple sclerosis
LOC339788,Multiple sclerosis
ARL11,Multiple sclerosis
MMP10,Multiple sclerosis
HACE1,Multiple sclerosis
VTI1A,Multiple sclerosis
SAMD12,Multiple sclerosis
NAP5,Multiple sclerosis
TLL1,Multiple sclerosis
RNASEL,Multiple sclerosis
LOC285501,Multiple sclerosis
TMEM47,Multiple sclerosis
DSC1,Multiple sclerosis
EGFL6,Multiple sclerosis
AK127238,Multiple sclerosis
MAZ,Multiple sclerosis
SHMT1,Multiple sclerosis
ANKRD55,Multiple sclerosis
TNFRSF14,Multiple sclerosis
KL,Multiple sclerosis
ST13P4,Multiple sclerosis
DLEU7,Multiple sclerosis
JDP2,Multiple sclerosis
RASGRP1,Multiple sclerosis
CCL22,Multiple sclerosis
FPR2,Multiple sclerosis
FPR3,Multiple sclerosis
SLAMF6,Multiple sclerosis
LOC100131234,Multiple sclerosis
MIR4262,Multiple sclerosis
TRIB2,Multiple sclerosis
MIR4437,Multiple sclerosis
ITGA4,Multiple sclerosis
CTLA4,Multiple sclerosis
C3orf80,Multiple sclerosis
SH3BP2,Multiple sclerosis
LOC100132735,Multiple sclerosis
FNDC1,Multiple sclerosis
FAM167A,Multiple sclerosis
NCOA2,Multiple sclerosis
LPIN3,Multiple sclerosis
RBM17,Multiple sclerosis
C10orf55,Multiple sclerosis
PLEKHG5,Multiple sclerosis
BCL10,Multiple sclerosis
IQGAP1,Multiple sclerosis
RMI2,Multiple sclerosis
PXT1,Multiple sclerosis
SLC9A8,Multiple sclerosis
CD69,Multiple sclerosis
TSFM,Multiple sclerosis
TEF,Multiple sclerosis
IQCB1,Multiple sclerosis
TNFAIP3,Multiple sclerosis
ZC2HC1A,Multiple sclerosis
AGBL2,Multiple sclerosis
FCRL1,Multiple sclerosis
SLAMF7,Multiple sclerosis
CENPO,Multiple sclerosis
FLJ16341,Multiple sclerosis
CCR4,Multiple sclerosis
FOXP1,Multiple sclerosis
SLC44A2,Multiple sclerosis
CARD11,Multiple sclerosis
TREH,Multiple sclerosis
IKZF1,Multiple sclerosis
CSGALNACT2,Multiple sclerosis
CD48,Multiple sclerosis
C7orf72,Multiple sclerosis
LOC285626,Multiple sclerosis
NLRC5,Multiple sclerosis
CHD7,Multiple sclerosis
LBH,Multiple sclerosis
PREP,Multiple sclerosis
SLC9B1,Multiple sclerosis
PUS10,Multiple sclerosis
RRAS2,Multiple sclerosis
TTC28,Multiple sclerosis
LOC100130476,Multiple sclerosis
ZC3HAV1,Multiple sclerosis
SLC7A10,Multiple sclerosis
CD27-AS1,Multiple sclerosis
RCL1,Multiple sclerosis
ETV7,Multiple sclerosis
KLF6,Multiple sclerosis
UCK2,Multiple sclerosis
HOXA1,Multiple sclerosis
CDKN2B-AS1,Multiple sclerosis
ADCY3,Multiple sclerosis
SETD1A,Multiple sclerosis
SYDE2,Multiple sclerosis
LZTFL1,Multiple sclerosis
MEF2B,Multiple sclerosis
MEF2BNB-MEF2B,Multiple sclerosis
CD2,Multiple sclerosis
FRMD6,Multiple sclerosis
LOC100506457,Multiple sclerosis
PCDH11X,Alzheimer's disease
CLU,Alzheimer's disease
PICALM,Alzheimer's disease
APOE,Alzheimer's disease
TOMM40,Alzheimer's disease
ZNF224,Alzheimer's disease
FAM113B,Alzheimer's disease
DISC1,Alzheimer's disease
PVRL2,Alzheimer's disease
PAX2,Alzheimer's disease
TTLL7,Alzheimer's disease
SASH1,Alzheimer's disease
RFC3,Alzheimer's disease
SLC4A1AP,Alzheimer's disease
POLN,Alzheimer's disease
CNTNAP2,Alzheimer's disease
STK24,Alzheimer's disease
MS4A,Alzheimer's disease
BIN1,Alzheimer's disease
CR1,Alzheimer's disease
APOC1,Alzheimer's disease
FLJ37543,Alzheimer's disease
MMP3,Alzheimer's disease
MMP12,Alzheimer's disease
PPP1R3B,Alzheimer's disease
ABCA7,Alzheimer's disease
MS4A4E,Alzheimer's disease
MS4A6A,Alzheimer's disease
FRMD4A,Alzheimer's disease
CD33,Alzheimer's disease
TREM2,Alzheimer's disease
BCAM,Alzheimer's disease
PVR,Alzheimer's disease
EXOC3L2,Alzheimer's disease
BCL3,Alzheimer's disease
MS4A3,Alzheimer's disease
FANCD2,Alzheimer's disease
FANCD2OS,Alzheimer's disease
RELN,Alzheimer's disease
MSRA,Alzheimer's disease
BMPER,Alzheimer's disease
SLC8A1-AS1,Alzheimer's disease
HBEGF,Alzheimer's disease
PFDN1,Alzheimer's disease
USP6NL,Alzheimer's disease
ECHDC3,Alzheimer's disease
BZRAP1,Alzheimer's disease
BZRAP1-AS1,Alzheimer's disease
NR,Alzheimer's disease
MS4A2,Alzheimer's disease
ANKRD31,Alzheimer's disease
SORL1,Alzheimer's disease
MAPT,Alzheimer's disease
EPHA1,Alzheimer's disease
SLC2A4A,Alzheimer's disease
RIN3,Alzheimer's disease
MEF2C,Alzheimer's disease
ZCWPW1,Alzheimer's disease
NME8,Alzheimer's disease
CELF1,Alzheimer's disease
HLA-DRB5,Alzheimer's disease
PTK2B,Alzheimer's disease
CD2AP,Alzheimer's disease
TP53INP1,Alzheimer's disease
NDUFAF6,Alzheimer's disease
SCIMP,Alzheimer's disease
C17orf96,Alzheimer's disease
ANTXR1,Alzheimer's disease
LINC00158,Alzheimer's disease
PAX5,Alzheimer's disease
KBTBD8,Alzheimer's disease
LOC101928519,Alzheimer's disease
D21S2088E,Alzheimer's disease
TNXB,Alzheimer's disease
LHX1,Alzheimer's disease
SFSWAP,Alzheimer's disease
MAPK7,Alzheimer's disease
FBXL13,Alzheimer's disease
LINC00634,Alzheimer's disease
SFT2D2,Alzheimer's disease
TRH,Alzheimer's disease
LINC00515,Alzheimer's disease
MRPL39,Alzheimer's disease
TRIM56,Alzheimer's disease
STK32B,Alzheimer's disease
C9orf92,Alzheimer's disease
AP2A2,Alzheimer's disease
SYK,Alzheimer's disease
KLHL4,Alzheimer's disease
MIR302F,Alzheimer's disease
MYO16,Alzheimer's disease
MAP4K4,Alzheimer's disease
FZD1,Schizophrenia
NR,Schizophrenia
ACSM1,Schizophrenia
PLAA,Schizophrenia
ANK3,Schizophrenia
ZNF804A,Schizophrenia
GRIK3,Schizophrenia
NOTCH4,Schizophrenia
NKAIN2,Schizophrenia
TCF4,Schizophrenia
LGALS17A,Schizophrenia
CLC,Schizophrenia
FEZ1,Schizophrenia
PRRC2A,Schizophrenia
BAG6,Schizophrenia
NT5C2,Schizophrenia
AS3MT,Schizophrenia
CNNM2,Schizophrenia
BRD1,Schizophrenia
SEC16B,Schizophrenia
FBXO11,Schizophrenia
ARHGAP31,Schizophrenia
POM121L2,Schizophrenia
CSF2RA,Schizophrenia
IL3RA,Schizophrenia
HIST1H2BJ,Schizophrenia
SLC17A1,Schizophrenia
BTN3A2,Schizophrenia
BTN2A2,Schizophrenia
BTN3A1,Schizophrenia
HIST1H2AG,Schizophrenia
ZNF184,Schizophrenia
PRSS16,Schizophrenia
SLC17A3,Schizophrenia
HLA-DQA1,Schizophrenia
CENTG2,Schizophrenia
CACNA1C,Schizophrenia
DPYD,Schizophrenia
PTBP2,Schizophrenia
SNX8,Schizophrenia
NUDT1,Schizophrenia
FTSJ2,Schizophrenia
MAD1L1,Schizophrenia
MMP16,Schizophrenia
El24,Schizophrenia
PKNOX2,Schizophrenia
CSMD1,Schizophrenia
MHC,Schizophrenia
VRK2,Schizophrenia
SLCO6A1,Schizophrenia
NRGN,Schizophrenia
FXR1,Schizophrenia
CCDC60,Schizophrenia
EXOC2,Schizophrenia
9648,Schizophrenia
PPFIA2,Schizophrenia
CNTNAP5,Schizophrenia
TMTC1,Schizophrenia
BRP44,Schizophrenia
DCAF6,Schizophrenia
LSM1,Schizophrenia
WHSC1L1,Schizophrenia
TRIM26,Schizophrenia
CACNA1I,Schizophrenia
ARNTL,Schizophrenia
CDH13,Schizophrenia
RUNDC2A,Schizophrenia
TSNARE1,Schizophrenia
TLE1,Schizophrenia
CACNB2,Schizophrenia
ARL3,Schizophrenia
C10orf32,Schizophrenia
CYP17A1,Schizophrenia
INA,Schizophrenia
PCGF6,Schizophrenia
PDCD11,Schizophrenia
SFXN2,Schizophrenia
TAF5,Schizophrenia
TRIM8,Schizophrenia
USMG5,Schizophrenia
WBP1L,Schizophrenia
LUZP2,Schizophrenia
BTBD18,Schizophrenia
C11orf31,Schizophrenia
CLP1,Schizophrenia
CTNND1,Schizophrenia
MED19,Schizophrenia
SERPING1,Schizophrenia
TMX2,Schizophrenia
YPEL4,Schizophrenia
ZDHHC5,Schizophrenia
C11orf87,Schizophrenia
DRD2,Schizophrenia
GRAMD1B,Schizophrenia
ESAM,Schizophrenia
MSANTD2,Schizophrenia
VSIG2,Schizophrenia
SNX19,Schizophrenia
IGSF9B,Schizophrenia
LRP1,Schizophrenia
MYO1A,Schizophrenia
NAB2,Schizophrenia
NDUFA4L2,Schizophrenia
NXPH4,Schizophrenia
R3HDM2,Schizophrenia
SHMT2,Schizophrenia
STAC3,Schizophrenia
STAT6,Schizophrenia
TAC3,Schizophrenia
TMEM194A,Schizophrenia
C12orf79,Schizophrenia
C12orf42,Schizophrenia
ATP2A2,Schizophrenia
ABCB9,Schizophrenia
ARL6IP4,Schizophrenia
C12orf65,Schizophrenia
CDK2AP1,Schizophrenia
MPHOSPH9,Schizophrenia
OGFOD2,Schizophrenia
PITPNM2,Schizophrenia
RILPL2,Schizophrenia
SBNO1,Schizophrenia
SETD8,Schizophrenia
PRKD1,Schizophrenia
AC005477.1,Schizophrenia
RGS6,Schizophrenia
BCL11B,Schizophrenia
AL049840.1,Schizophrenia
APOPT1,Schizophrenia
BAG5,Schizophrenia
CKB,Schizophrenia
KLC1,Schizophrenia
PPP1R13B,Schizophrenia
TRMT61A,Schizophrenia
XRCC3,Schizophrenia
ZFYVE21,Schizophrenia
ANKRD63,Schizophrenia
PAK6,Schizophrenia
PLCB2,Schizophrenia
VPS14C,Schizophrenia
CCDC39,Schizophrenia
DNAJC19,Schizophrenia
PLCH2,Schizophrenia
SLC39A8,Schizophrenia
KDM4A,Schizophrenia
PTPRF,Schizophrenia
GPM6A,Schizophrenia
MIR137,Schizophrenia
ZSWIM6,Schizophrenia
FAM5B,Schizophrenia
MAN2A1,Schizophrenia
AKT3,Schizophrenia
SDCCAG8,Schizophrenia
GRIA1,Schizophrenia
CYP26B1,Schizophrenia
FUT9,Schizophrenia
ANKRD44,Schizophrenia
BOLL,Schizophrenia
COQ10B,Schizophrenia
HSPD1,Schizophrenia
HSPE1,Schizophrenia
MARS2,Schizophrenia
PLCL1,Schizophrenia
RFTN2,Schizophrenia
SF3B1,Schizophrenia
MLL5,Schizophrenia
PUS7,Schizophrenia
SRPK2,Schizophrenia
CUL3,Schizophrenia
PODXL,Schizophrenia
CNTN4,Schizophrenia
TRANK1,Schizophrenia
CA8,Schizophrenia
ATXN7,Schizophrenia
C3orf49,Schizophrenia
PSMD6,Schizophrenia
THOC7,Schizophrenia
KCNV1,Schizophrenia
IMMP2L,Schizophrenia
MIR548AJ2,Schizophrenia
C4orf27,Schizophrenia
CLCN3,Schizophrenia
NEK1,Schizophrenia
LRRIQ3,Schizophrenia
HCN1,Schizophrenia
ANP32E,Schizophrenia
APH1A,Schizophrenia
C1orf51,Schizophrenia
C1orf54,Schizophrenia
CA14,Schizophrenia
OTUD7B,Schizophrenia
PLEKHO1,Schizophrenia
VPS45,Schizophrenia
MEF2C,Schizophrenia
C1orf132,Schizophrenia
CD46,Schizophrenia
CR1L,Schizophrenia
CDC25C,Schizophrenia
CTNNA1,Schizophrenia
EGR1,Schizophrenia
ETF1,Schizophrenia
FAM53C,Schizophrenia
GFRA3,Schizophrenia
HSPA9,Schizophrenia
KDM3B,Schizophrenia
REEP2,Schizophrenia
FANCL,Schizophrenia
GALNT10,Schizophrenia
DPP4,Schizophrenia
SLC4A10,Schizophrenia
RIMS1,Schizophrenia
PCGEM1,Schizophrenia
GRM3,Schizophrenia
SATB2,Schizophrenia
C2orf82,Schizophrenia
EFHD1,Schizophrenia
GIGYF2,Schizophrenia
KCNJ13,Schizophrenia
NGEF,Schizophrenia
DGKI,Schizophrenia
PTN,Schizophrenia
TBC1D5,Schizophrenia
CLU,Schizophrenia
EPHX2,Schizophrenia
GLT8D1,Schizophrenia
GNL3,Schizophrenia
ITIH1,Schizophrenia
ITIH3,Schizophrenia
ITIH4,Schizophrenia
MUSTN1,Schizophrenia
NEK4,Schizophrenia
NISCH,Schizophrenia
NT5DC2,Schizophrenia
PBRM1,Schizophrenia
SMIM4,Schizophrenia
SPCS1,Schizophrenia
STAB1,Schizophrenia
TMEM110,Schizophrenia
TMEM110-MUSTN1,Schizophrenia
MSL2,Schizophrenia
NCK1,Schizophrenia
PCCB,Schizophrenia
PPP2R3A,Schizophrenia
SLC35G2,Schizophrenia
STAG1,Schizophrenia
TLE3,Schizophrenia
AC027228.1,Schizophrenia
AGPHD1,Schizophrenia
CHRNA3,Schizophrenia
CHRNA5,Schizophrenia
CHRNB4,Schizophrenia
IREB2,Schizophrenia
PSMA4,Schizophrenia
ADAMTSL3,Schizophrenia
GOLGA6L4,Schizophrenia
ZSCAN2,Schizophrenia
FES,Schizophrenia
FURIN,Schizophrenia
MAN2A2,Schizophrenia
GRIN2A,Schizophrenia
ERCC4,Schizophrenia
ALDOA,Schizophrenia
ASPHD1,Schizophrenia
C16orf92,Schizophrenia
DOC2A,Schizophrenia
FAM57B,Schizophrenia
GDPD3,Schizophrenia
HIRIP3,Schizophrenia
INO80E,Schizophrenia
KCTD13,Schizophrenia
MAPK3,Schizophrenia
PPP4C,Schizophrenia
SEZ6L2,Schizophrenia
TAOK2,Schizophrenia
TBX6,Schizophrenia
TMEM219,Schizophrenia
YPEL3,Schizophrenia
CNOT1,Schizophrenia
SLC38A7,Schizophrenia
ACD,Schizophrenia
C16orf86,Schizophrenia
CENPT,Schizophrenia
CTRL,Schizophrenia
DDX28,Schizophrenia
DPEP2,Schizophrenia
DPEP3,Schizophrenia
DUS2L,Schizophrenia
EDC4,Schizophrenia
ENKD1,Schizophrenia
ESRP2,Schizophrenia
GFOD2,Schizophrenia
LCAT,Schizophrenia
NFATC3,Schizophrenia
NRN1L,Schizophrenia
NUTF2,Schizophrenia
PARD6A,Schizophrenia
PLA2G15,Schizophrenia
PSKH1,Schizophrenia
PSMB10,Schizophrenia
RANBP10,Schizophrenia
SLC12A4,Schizophrenia
SLC7A6,Schizophrenia
SLC7A6OS,Schizophrenia
THAP11,Schizophrenia
TSNAXIP1,Schizophrenia
SGSM2,Schizophrenia
SMG6,Schizophrenia
SRR,Schizophrenia
TSR1,Schizophrenia
ATPAF2,Schizophrenia
DRG2,Schizophrenia
GID4,Schizophrenia
LRRC48,Schizophrenia
MYO15A,Schizophrenia
RAI1,Schizophrenia
SREBF1,Schizophrenia
TOM1L2,Schizophrenia
CILP2,Schizophrenia
