gene,trait
ITIH4,Parkinson's disease
ANK2,Parkinson's disease
CAMK2D,Parkinson's disease
SORBS3,Parkinson's disease
PDLIM2,Parkinson's disease
C8orf58,Parkinson's disease
BIN3,Parkinson's disease
FAM171A1,Parkinson's disease
GALC,Parkinson's disease
COQ7,Parkinson's disease
TOX3,Parkinson's disease
KCNJ11,Type 2 diabetes
QSER1,Type 2 diabetes
PDHX,Type 2 diabetes
HSD17B12,Type 2 diabetes
CRY2,Type 2 diabetes
CELF1,Type 2 diabetes
MAP3K11,Type 2 diabetes
CCND1,Type 2 diabetes
CENTD2,Type 2 diabetes
ARAP1,Type 2 diabetes
MTNR1B,Type 2 diabetes
ETS1,Type 2 diabetes
CCND2,Type 2 diabetes
PCDH17,Type 2 diabetes
SRGAP2D,Type 2 diabetes
SPRY2,Type 2 diabetes
IRS2,Type 2 diabetes
SLC7A7,Type 2 diabetes
AKAP6,Type 2 diabetes
CLEC14A,Type 2 diabetes
NRXN3,Type 2 diabetes
SMEK1,Type 2 diabetes
MARK3,Type 2 diabetes
RASGRP1,Type 2 diabetes
LTK,Type 2 diabetes
ONECUT1,Type 2 diabetes
WDR72,Type 2 diabetes
TCF12,Type 2 diabetes
C2CD4A,Type 2 diabetes
C2CD4B,Type 2 diabetes
USP3,Type 2 diabetes
MAP2K5,Type 2 diabetes
PTPN9,Type 2 diabetes
HMG20A,Type 2 diabetes
TBC1D4,Type 2 diabetes
ITGA1,Type 2 diabetes
LARGE1,Type 2 diabetes
TM6SF2,Type 2 diabetes
PEPD,Type 2 diabetes
TOMM40,Type 2 diabetes
APOE,Type 2 diabetes
GIPR,Type 2 diabetes
ZC3H4,Type 2 diabetes
NKX2.2,Type 2 diabetes
RALY,Type 2 diabetes
HNF4A,Type 2 diabetes
EYA2,Type 2 diabetes
CEBPB,Type 2 diabetes
TSHZ2,Type 2 diabetes
GNAS,Type 2 diabetes
MTMR3,Type 2 diabetes
ASCC2,Type 2 diabetes
YWHAH,Type 2 diabetes
EP300,Type 2 diabetes
PNPLA3,Type 2 diabetes
PIM3,Type 2 diabetes
TTLL6,Type 2 diabetes
KIF2B,Type 2 diabetes
