trait1,trait2,generalSWL,generalSum,generalPval,t2dSWL,t2dSum,t2dPval,nervousSWL,nervousSum,nervousPval
Breast cancer,Breast cancer,76.56354899673,126.889998509449,0,78.289516193466,131.36412620218,0,39.868398289967,57.528183229065,0
Breast cancer,Breast cancer,76.113261109987,126.889998509449,0,91.236634005047,131.36412620218,0,36.531382184506,57.528183229065,0
Breast cancer,Breast cancer,72.12646399893,126.889998509449,0,87.333994699875,131.36412620218,0,36.914626622824,57.528183229065,0
Breast cancer,Breast cancer,69.719533136496,126.889998509449,0,75.582212311696,131.36412620218,0,33.692550261988,57.528183229065,0
Breast cancer,Breast cancer,68.299413588886,126.889998509449,0,80.362744274203,131.36412620218,0,35.013431915847,57.528183229065,0
Breast cancer,Breast cancer,85.351224440902,126.889998509449,0,92.587516268311,131.36412620218,0,40.933013751373,57.528183229065,0
Breast cancer,Breast cancer,74.265896324778,126.889998509449,0,86.363248367644,131.36412620218,0,42.619909824151,57.528183229065,0
Breast cancer,Breast cancer,69.804719054588,126.889998509449,0,92.512112472607,131.36412620218,0,39.699722054827,57.528183229065,0
Breast cancer,Breast cancer,82.465561682961,126.889998509449,0,81.344807928299,131.36412620218,0,38.087818552212,57.528183229065,0
Breast cancer,Breast cancer,72.169740863275,126.889998509449,0,78.84920868784,131.36412620218,0,44.305275410139,57.528183229065,0
Breast cancer,Breast cancer,69.197477416768,126.889998509449,0,77.770772855989,131.36412620218,0,40.169208148868,57.528183229065,0
Breast cancer,Breast cancer,82.01358041562,126.889998509449,0,83.042609123354,131.36412620218,0,36.519322369175,57.528183229065,0
Breast cancer,Breast cancer,85.272717098665,126.889998509449,0,74.623096187307,131.36412620218,0,36.940500417216,57.528183229065,0
Breast cancer,Breast cancer,74.756531906672,126.889998509449,0,82.089882128486,131.36412620218,0,37.460212611419,57.528183229065,0
Breast cancer,Breast cancer,80.221108065539,126.889998509449,0,85.54290681742,131.36412620218,0,43.445062253313,57.528183229065,0
Breast cancer,Breast cancer,67.241861627608,126.889998509449,0,77.805275654421,131.36412620218,0,37.539547739277,57.528183229065,0
Breast cancer,Breast cancer,65.826060405738,126.889998509449,0,90.762118622396,131.36412620218,0,40.162298588669,57.528183229065,0
Breast cancer,Breast cancer,75.393593037272,126.889998509449,0,96.951789437283,131.36412620218,0,31.329207208047,57.528183229065,0
Breast cancer,Breast cancer,76.263251174743,126.889998509449,0,82.792316011884,131.36412620218,0,40.467997917733,57.528183229065,0
Breast cancer,Breast cancer,74.244745139233,126.889998509449,0,76.105991467283,131.36412620218,0,37.749235473148,57.528183229065,0
Breast cancer,Breast cancer,75.892686347869,126.889998509449,0,90.485597411076,131.36412620218,0,32.966742886537,57.528183229065,0
Breast cancer,Breast cancer,78.926327097636,126.889998509449,0,85.971057603773,131.36412620218,0,36.490786233383,57.528183229065,0
Breast cancer,Breast cancer,83.613008567833,126.889998509449,0,86.028282775678,131.36412620218,0,40.622122266944,57.528183229065,0
Breast cancer,Breast cancer,68.246908972121,126.889998509449,0,91.012561274147,131.36412620218,0,41.350949762004,57.528183229065,0
Breast cancer,Breast cancer,73.429698773113,126.889998509449,0,80.7137382642,131.36412620218,0,37.191496823792,57.528183229065,0
Breast cancer,Breast cancer,80.848606473684,126.889998509449,0,89.142973678575,131.36412620218,0,38.51129196782,57.528183229065,0
Breast cancer,Breast cancer,72.465928532877,126.889998509449,0,75.099398712372,131.36412620218,0,41.114815668478,57.528183229065,0
Breast cancer,Breast cancer,86.268514653804,126.889998509449,0,85.325019757224,131.36412620218,0,40.127968013861,57.528183229065,0
Breast cancer,Breast cancer,76.252382506945,126.889998509449,0,91.585777194375,131.36412620218,0,39.15308503069,57.528183229065,0
Breast cancer,Breast cancer,72.325923368763,126.889998509449,0,90.427587000981,131.36412620218,0,33.781352927438,57.528183229065,0
Breast cancer,Breast cancer,78.35594015662,126.889998509449,0,85.84208519911,131.36412620218,0,44.567024418515,57.528183229065,0
Breast cancer,Breast cancer,71.941191554014,126.889998509449,0,78.466315324114,131.36412620218,0,40.242660136339,57.528183229065,0
Breast cancer,Breast cancer,70.504439348939,126.889998509449,0,77.391877632828,131.36412620218,0,40.422111641786,57.528183229065,0
Breast cancer,Breast cancer,84.818896065055,126.889998509449,0,90.620190809832,131.36412620218,0,38.17909847049,57.528183229065,0
Breast cancer,Breast cancer,65.715441937602,126.889998509449,0,99.879386949883,131.36412620218,0,39.009899770375,57.528183229065,0
Breast cancer,Breast cancer,72.159212289469,126.889998509449,0,85.495223557787,131.36412620218,0,39.030427684798,57.528183229065,0
Breast cancer,Breast cancer,70.77477191719,126.889998509449,0,93.250621963914,131.36412620218,0,36.504719089485,57.528183229065,0
Breast cancer,Breast cancer,70.111862691619,126.889998509449,0,81.244616358552,131.36412620218,0,35.131514811154,57.528183229065,0
Breast cancer,Breast cancer,65.142718759016,126.889998509449,0,82.581797642604,131.36412620218,0,34.160076523419,57.528183229065,0
Breast cancer,Breast cancer,75.171111031493,126.889998509449,0,91.845338933383,131.36412620218,0,39.786427808676,57.528183229065,0
Breast cancer,Breast cancer,83.935485561704,126.889998509449,0,77.42995896997,131.36412620218,0,40.624552351382,57.528183229065,0
Breast cancer,Breast cancer,81.89928617487,126.889998509449,0,86.512154852176,131.36412620218,0,47.805816118139,57.528183229065,0
Breast cancer,Breast cancer,80.374305069138,126.889998509449,0,79.635456528971,131.36412620218,0,42.185138281067,57.528183229065,0
Breast cancer,Breast cancer,71.664025429627,126.889998509449,0,88.269004779307,131.36412620218,0,35.59870215565,57.528183229065,0
Breast cancer,Breast cancer,79.257744414735,126.889998509449,0,72.808633822155,131.36412620218,0,38.790831664474,57.528183229065,0
Breast cancer,Breast cancer,72.272617876243,126.889998509449,0,74.583158437619,131.36412620218,0,36.402758601166,57.528183229065,0
Breast cancer,Breast cancer,66.696903870959,126.889998509449,0,92.428161709518,131.36412620218,0,32.907168115483,57.528183229065,0
Breast cancer,Breast cancer,69.62262044806,126.889998509449,0,75.964498875949,131.36412620218,0,37.318349631167,57.528183229065,0
Breast cancer,Breast cancer,71.479193142479,126.889998509449,0,78.901340354377,131.36412620218,0,33.185236506937,57.528183229065,0
Breast cancer,Breast cancer,67.467791497824,126.889998509449,0,84.791396470244,131.36412620218,0,36.654011513523,57.528183229065,0
Breast cancer,Breast cancer,73.668710883015,126.889998509449,0,78.047492448959,131.36412620218,0,42.229757834207,57.528183229065,0
Breast cancer,Breast cancer,82.089443206017,126.889998509449,0,83.974414706877,131.36412620218,0,39.125406701805,57.528183229065,0
Breast cancer,Breast cancer,81.674555533678,126.889998509449,0,80.142923941211,131.36412620218,0,37.554224831371,57.528183229065,0
Breast cancer,Breast cancer,71.180516692379,126.889998509449,0,82.128964003829,131.36412620218,0,36.456106866106,57.528183229065,0
Breast cancer,Breast cancer,88.947011113748,126.889998509449,0,88.93460440025,131.36412620218,0,40.035090048556,57.528183229065,0
Breast cancer,Breast cancer,78.380091383853,126.889998509449,0,89.696176370658,131.36412620218,0,32.852759342798,57.528183229065,0
Breast cancer,Breast cancer,74.576621767167,126.889998509449,0,81.471524651347,131.36412620218,0,34.992265303554,57.528183229065,0
Breast cancer,Breast cancer,77.781567735318,126.889998509449,0,83.83134838036,131.36412620218,0,42.105294087357,57.528183229065,0
Breast cancer,Breast cancer,75.706802271137,126.889998509449,0,81.841780764056,131.36412620218,0,42.415132009373,57.528183229065,0
Breast cancer,Breast cancer,69.956552839431,126.889998509449,0,89.425956307921,131.36412620218,0,41.02372430754,57.528183229065,0
Breast cancer,Breast cancer,69.579617941966,126.889998509449,0,77.601994623696,131.36412620218,0,43.264488332443,57.528183229065,0
Breast cancer,Breast cancer,77.38117858072,126.889998509449,0,80.353477711113,131.36412620218,0,37.856261316693,57.528183229065,0
Breast cancer,Breast cancer,82.980276639601,126.889998509449,0,95.57215509361,131.36412620218,0,36.802925551493,57.528183229065,0
Breast cancer,Breast cancer,68.927646386454,126.889998509449,0,88.409353472636,131.36412620218,0,41.729814033052,57.528183229065,0
Breast cancer,Breast cancer,79.469930191009,126.889998509449,0,90.306014171362,131.36412620218,0,36.940617880559,57.528183229065,0
Breast cancer,Breast cancer,64.380788215894,126.889998509449,0,81.108579307941,131.36412620218,0,40.10457670843,57.528183229065,0
Breast cancer,Breast cancer,79.958861446138,126.889998509449,0,75.634563792564,131.36412620218,0,38.830331580413,57.528183229065,0
Breast cancer,Breast cancer,74.989787475531,126.889998509449,0,84.271584048823,131.36412620218,0,38.738990936527,57.528183229065,0
Breast cancer,Breast cancer,76.76681527109,126.889998509449,0,72.059430728844,131.36412620218,0,42.925475251895,57.528183229065,0
Breast cancer,Breast cancer,75.590607948211,126.889998509449,0,91.049224054796,131.36412620218,0,37.056726559718,57.528183229065,0
Breast cancer,Breast cancer,72.06760717325,126.889998509449,0,89.286226193737,131.36412620218,0,39.304214113684,57.528183229065,0
Breast cancer,Breast cancer,62.896216082733,126.889998509449,0,81.75738066152,131.36412620218,0,39.801686711019,57.528183229065,0
Breast cancer,Breast cancer,83.231744501338,126.889998509449,0,82.66239345773,131.36412620218,0,44.685673947085,57.528183229065,0
Breast cancer,Breast cancer,82.877693437355,126.889998509449,0,82.933144107079,131.36412620218,0,40.533749412997,57.528183229065,0
Breast cancer,Breast cancer,71.012222034857,126.889998509449,0,73.299172278984,131.36412620218,0,36.895417040214,57.528183229065,0
Breast cancer,Breast cancer,77.046213046407,126.889998509449,0,82.816203360099,131.36412620218,0,38.497272516687,57.528183229065,0
Breast cancer,Breast cancer,81.943120281816,126.889998509449,0,81.505099313898,131.36412620218,0,39.712856303175,57.528183229065,0
Breast cancer,Breast cancer,72.672053749178,126.889998509449,0,82.839867736157,131.36412620218,0,41.755643451821,57.528183229065,0
Breast cancer,Breast cancer,70.498584609076,126.889998509449,0,85.624171960792,131.36412620218,0,38.394232317226,57.528183229065,0
Breast cancer,Breast cancer,78.043274710619,126.889998509449,0,94.752770451952,131.36412620218,0,45.099813540339,57.528183229065,0
Breast cancer,Breast cancer,62.579751954767,126.889998509449,0,79.037218982939,131.36412620218,0,34.852818385654,57.528183229065,0
Breast cancer,Breast cancer,76.837150163074,126.889998509449,0,93.697662908925,131.36412620218,0,43.110771796282,57.528183229065,0
Breast cancer,Breast cancer,71.515330424085,126.889998509449,0,76.427591434828,131.36412620218,0,38.619578199564,57.528183229065,0
Breast cancer,Breast cancer,70.21591769654,126.889998509449,0,91.891958220005,131.36412620218,0,36.07022001543,57.528183229065,0
Breast cancer,Breast cancer,71.658290114885,126.889998509449,0,90.051985341509,131.36412620218,0,34.876502362662,57.528183229065,0
Breast cancer,Breast cancer,69.112507852568,126.889998509449,0,85.908354084232,131.36412620218,0,39.653738109449,57.528183229065,0
Breast cancer,Breast cancer,69.824554896495,126.889998509449,0,95.282082507984,131.36412620218,0,43.465807943707,57.528183229065,0
Breast cancer,Breast cancer,61.962034607315,126.889998509449,0,86.670923270749,131.36412620218,0,38.992940658928,57.528183229065,0
Breast cancer,Breast cancer,68.470010914487,126.889998509449,0,84.074139727011,131.36412620218,0,41.420018823338,57.528183229065,0
Breast cancer,Breast cancer,65.902368613072,126.889998509449,0,87.272093673852,131.36412620218,0,39.032710981752,57.528183229065,0
Breast cancer,Breast cancer,75.472472164847,126.889998509449,0,83.941618866201,131.36412620218,0,44.021706279864,57.528183229065,0
Breast cancer,Breast cancer,77.848443666269,126.889998509449,0,77.909148942021,131.36412620218,0,38.114592792527,57.528183229065,0
Breast cancer,Breast cancer,71.799813475763,126.889998509449,0,76.004361291792,131.36412620218,0,40.92641405809,57.528183229065,0
Breast cancer,Breast cancer,70.964831091677,126.889998509449,0,93.311303342851,131.36412620218,0,41.847632453779,57.528183229065,0
Breast cancer,Breast cancer,79.975174389267,126.889998509449,0,88.225292449424,131.36412620218,0,38.666951956946,57.528183229065,0
Breast cancer,Breast cancer,70.011022517184,126.889998509449,0,81.686901323996,131.36412620218,0,36.176101910355,57.528183229065,0
Breast cancer,Breast cancer,73.394373218739,126.889998509449,0,92.927730943637,131.36412620218,0,38.520438677037,57.528183229065,0
Breast cancer,Breast cancer,72.00180876317,126.889998509449,0,79.679435164154,131.36412620218,0,38.426778341847,57.528183229065,0
