gene,trait
GNAS,Type 2 diabetes
MTMR3,Type 2 diabetes
ASCC2,Type 2 diabetes
YWHAH,Type 2 diabetes
EP300,Type 2 diabetes
PNPLA3,Type 2 diabetes
PIM3,Type 2 diabetes
TTLL6,Type 2 diabetes
KIF2B,Type 2 diabetes
ACE,Type 2 diabetes
BPTF,Type 2 diabetes
LAMA1,Type 2 diabetes
COMMD9,Type 2 diabetes
TCF4,Type 2 diabetes
WDR7,Type 2 diabetes
GRP,Type 2 diabetes
MC4R,Type 2 diabetes
UHRF1,Type 2 diabetes
PTPRS,Type 2 diabetes
INSR,Type 2 diabetes
MAP2K7,Type 2 diabetes
FARSA,Type 2 diabetes
AP3S2,Type 2 diabetes
PRC1,Type 2 diabetes
CLUAP1,Type 2 diabetes
ATP2A1,Type 2 diabetes
FTO,Type 2 diabetes
NFAT5,Type 2 diabetes
BCAR1,Type 2 diabetes
CMIP,Type 2 diabetes
SPG7,Type 2 diabetes
ZZEF1,Type 2 diabetes
GLP2R,Type 2 diabetes
RAI1,Type 2 diabetes
NF1,Type 2 diabetes
HNF1B,Type 2 diabetes
MLX,Type 2 diabetes
CDKN1B,Type 2 diabetes
ITPR2,Type 2 diabetes
HMGA2,Type 2 diabetes
TSPAN8,Type 2 diabetes
LGR5,Type 2 diabetes
USP44,Type 2 diabetes
WSCD2,Type 2 diabetes
KSR2,Type 2 diabetes
HNF1A,Type 2 diabetes
MPHOSPH9,Type 2 diabetes
FBRSL1,Type 2 diabetes
RNF6,Type 2 diabetes
HMGB1,Type 2 diabetes
KL,Type 2 diabetes
INS-IGF2,Type 2 diabetes
KCNQ1,Type 2 diabetes
CDKAL1,Type 2 diabetes
IGF2BP2,Type 2 diabetes
SLC30A8,Type 2 diabetes
HHEX,Type 2 diabetes
TCF7L2,Type 2 diabetes
CDKN2A,Type 2 diabetes
CDKN2B,Type 2 diabetes
PPARG,Type 2 diabetes
LPIN2,Type 2 diabetes
HUNK,Type 2 diabetes
KIF11,Type 2 diabetes
PEX5L,Type 2 diabetes
CR2,Type 2 diabetes
ACHE,Type 2 diabetes
TCERG1L,Type 2 diabetes
ZPLD1,Type 2 diabetes
PLS1,Type 2 diabetes
ITGB6,Type 2 diabetes
RBMS1,Type 2 diabetes
IRS1,Type 2 diabetes
PPP2R2C,Type 2 diabetes
WFS1,Type 2 diabetes
CETN3,Type 2 diabetes
TMEM163,Type 2 diabetes
MAP3K1,Type 2 diabetes
TGFBR3,Type 2 diabetes
CDC123,Type 2 diabetes
CAMK1D,Type 2 diabetes
ZBED3,Type 2 diabetes
KLF14,Type 2 diabetes
TP53INP1,Type 2 diabetes
BCL11A,Type 2 diabetes
ZFAND6,Type 2 diabetes
JAZF1,Type 2 diabetes
IDE,Type 2 diabetes
THADA,Type 2 diabetes
VEGFA,Type 2 diabetes
NOTCH2,Type 2 diabetes
ADAM30,Type 2 diabetes
DCD,Type 2 diabetes
SYN2,Type 2 diabetes
ADAMTS9,Type 2 diabetes
PTPRD,Type 2 diabetes
SRR,Type 2 diabetes
ANK1,Type 2 diabetes
SYK,Type 2 diabetes
SGCG,Type 2 diabetes
SACS,Type 2 diabetes
RHOU,Type 2 diabetes
NXN,Type 2 diabetes
CTCFL,Type 2 diabetes
RBM38,Type 2 diabetes
PCK1,Type 2 diabetes
SLC44A3,Type 2 diabetes
F3,Type 2 diabetes
RBM43,Type 2 diabetes
RND3,Type 2 diabetes
TMEM45B,Type 2 diabetes
BARX2,Type 2 diabetes
HLA-DQA2,Type 2 diabetes
ADCY5,Type 2 diabetes
GRB14,Type 2 diabetes
ST6GAL1,Type 2 diabetes
VPS26A,Type 2 diabetes
ROR2,Type 2 diabetes
OSBPL1A,Type 2 diabetes
LIMS2,Type 2 diabetes
DAAM1,Type 2 diabetes
LPP,Type 2 diabetes
CRHR2,Type 2 diabetes
PCBD2,Type 2 diabetes
PTEN,Type 2 diabetes
TLE4,Type 2 diabetes
UBE2E2,Type 2 diabetes
TMEM154,Type 2 diabetes
KCNK16,Type 2 diabetes
FAF1,Type 2 diabetes
PROX1,Type 2 diabetes
TCF19,Type 2 diabetes
POU5F1,Type 2 diabetes
TMEM18,Type 2 diabetes
ETV1,Type 2 diabetes
LYPLAL1,Type 2 diabetes
IL20RA,Type 2 diabetes
GLIS3,Type 2 diabetes
DGKB,Type 2 diabetes
RREB1,Type 2 diabetes
SSR1,Type 2 diabetes
ARL15,Type 2 diabetes
PLEKHA1,Type 2 diabetes
TLE1,Type 2 diabetes
ZMIZ1,Type 2 diabetes
JAG1,Type 2 diabetes
JMJD1C,Type 2 diabetes
MACF1,Type 2 diabetes
PATJ,Type 2 diabetes
DENND2C,Type 2 diabetes
PTGFRN,Type 2 diabetes
CPQ,Type 2 diabetes
TRHR,Type 2 diabetes
BOP1,Type 2 diabetes
HAUS6,Type 2 diabetes
FOCAD,Type 2 diabetes
TMCC1,Type 2 diabetes
TSC22D2,Type 2 diabetes
MBNL1,Type 2 diabetes
SLC2A2,Type 2 diabetes
ABCC5,Type 2 diabetes
PCGF3,Type 2 diabetes
MAEA,Type 2 diabetes
HTT,Type 2 diabetes
LCORL,Type 2 diabetes
GNPDA2,Type 2 diabetes
LINGO2,Type 2 diabetes
UBAP2,Type 2 diabetes
ZNF169,Type 2 diabetes
ABO,Type 2 diabetes
GPSM1,Type 2 diabetes
NEUROG3,Type 2 diabetes
USP46,Type 2 diabetes
SCD5,Type 2 diabetes
FAM13A,Type 2 diabetes
SMARCAD1,Type 2 diabetes
SLC9B1,Type 2 diabetes
PABPC4L,Type 2 diabetes
PDGFC,Type 2 diabetes
ACSL1,Type 2 diabetes
ANKH,Type 2 diabetes
MRPS30,Type 2 diabetes
ANKRD55,Type 2 diabetes
INS,Type 2 diabetes
IGF2,Type 2 diabetes
PDE3B,Type 2 diabetes
GLI2,Type 2 diabetes
CYTIP,Type 2 diabetes
COBLL1,Type 2 diabetes
KIF9,Type 2 diabetes
RBM6,Type 2 diabetes
RFT1,Type 2 diabetes
CACNA2D3,Type 2 diabetes
PSMD6,Type 2 diabetes
SHQ1,Type 2 diabetes
ROBO2,Type 2 diabetes
SLC12A8,Type 2 diabetes
SLC35D3,Type 2 diabetes
SLC22A3,Type 2 diabetes
QKI,Type 2 diabetes
IGF2BP3,Type 2 diabetes
GCK,Type 2 diabetes
FBXL13,Type 2 diabetes
RELN,Type 2 diabetes
CTTNBP2,Type 2 diabetes
AOC1,Type 2 diabetes
MNX1,Type 2 diabetes
MSRA,Type 2 diabetes
XKR6,Type 2 diabetes
LPL,Type 2 diabetes
PURG,Type 2 diabetes
SEC16B,Type 2 diabetes
DSTYK,Type 2 diabetes
SRGAP2,Type 2 diabetes
ABCB10,Type 2 diabetes
GNG4,Type 2 diabetes
DTNB,Type 2 diabetes
GCKR,Type 2 diabetes
BNIPL,Type 2 diabetes
CEP68,Type 2 diabetes
DDX18,Type 2 diabetes
POC5,Type 2 diabetes
DMGDH,Type 2 diabetes
RASA1,Type 2 diabetes
SLCO6A1,Type 2 diabetes
PAM,Type 2 diabetes
LRFN2,Type 2 diabetes
TFAP2B,Type 2 diabetes
BEND3,Type 2 diabetes
CENPW,Type 2 diabetes
SOGA3,Type 2 diabetes
GABRA4,Type 2 diabetes
COX7B2,Type 2 diabetes
DNER,Type 2 diabetes
SLC16A13,Type 2 diabetes
SLC16A11,Type 2 diabetes
GRK5,Type 2 diabetes
SRBD1,Type 2 diabetes
TYW5,Type 2 diabetes
SATB2,Type 2 diabetes
LRIG1,Type 2 diabetes
KBTBD8,Type 2 diabetes
BCL6,Type 2 diabetes
MARCKS,Type 2 diabetes
MTHFD1L,Type 2 diabetes
AKAP12,Type 2 diabetes
ADAMTS20,Type 2 diabetes
GTF2F2,Type 2 diabetes
TPT1,Type 2 diabetes
KLF5,Type 2 diabetes
KLF12,Type 2 diabetes
CPPED1,Type 2 diabetes
SNX29,Type 2 diabetes
COMMD7,Type 2 diabetes
BCL9,Type 2 diabetes
CHD1L,Type 2 diabetes
TMEM167A,Type 2 diabetes
XRCC4,Type 2 diabetes
CCDC85A,Type 2 diabetes
DMRTA1,Type 2 diabetes
ATP8B2,Type 2 diabetes
INAFM2,Type 2 diabetes
ASB3,Type 2 diabetes
C16orf74,Type 2 diabetes
ZBTB20,Type 2 diabetes
IGFBP2,Type 2 diabetes
GCC1,Type 2 diabetes
FSCN3,Type 2 diabetes
PAX4,Type 2 diabetes
LEP,Type 2 diabetes
GALNT14,Type 2 diabetes
CAPN13,Type 2 diabetes
HLA-B,Type 2 diabetes
HECW1,Type 2 diabetes
CPA6,Type 2 diabetes
INTS8,Type 2 diabetes
ASCL2,Type 2 diabetes
TH,Type 2 diabetes
ANXA2,Type 2 diabetes
TMEM175,Type 2 diabetes
ARF5,Type 2 diabetes
SND1,Type 2 diabetes
ZFAND3,Type 2 diabetes
FITM2,Type 2 diabetes
R3HDML,Type 2 diabetes
WWOX,Type 2 diabetes
ZC3H11B,Type 2 diabetes
CAMKK2,Type 2 diabetes
CALCOCO2,Type 2 diabetes
UBE2Z,Type 2 diabetes
SNF8,Type 2 diabetes
GIP,Type 2 diabetes
EHMT2,Type 2 diabetes
CILP2,Type 2 diabetes
JADE2,Type 2 diabetes
HLA-DRB5,Type 2 diabetes
BRAF,Type 2 diabetes
KCNU1,Type 2 diabetes
ABCB9,Type 2 diabetes
GATAD2A,Type 2 diabetes
APOC1,Type 2 diabetes
BCL2L11,Type 2 diabetes
HLA-DQA1,Type 2 diabetes
BCL2,Type 2 diabetes
CISD2,Type 2 diabetes
PCSK6,Type 2 diabetes
AUTS2,Type 2 diabetes
NTRK2,Type 2 diabetes
SOX11,Type 2 diabetes
CTBP1,Type 2 diabetes
SFI1,Type 2 diabetes
EML4,Type 2 diabetes
SOCS2,Type 2 diabetes
OASL,Type 2 diabetes
PITPNM2,Type 2 diabetes
FAM234A,Type 2 diabetes
CTRB1,Type 2 diabetes
STAT3,Type 2 diabetes
OSBPL7,Type 2 diabetes
TEX14,Type 2 diabetes
TACO1,Type 2 diabetes
SUGP1,Type 2 diabetes
FOXA2,Type 2 diabetes
EIF2S2,Type 2 diabetes
HORMAD2,Type 2 diabetes
SAMM50,Type 2 diabetes
CFAP77,Type 2 diabetes
CCDC77,Type 2 diabetes
XYLT1,Type 2 diabetes
KLHL42,Type 2 diabetes
ARG1,Type 2 diabetes
MED23,Type 2 diabetes
AGMO,Type 2 diabetes
YKT6,Type 2 diabetes
UBE3C,Type 2 diabetes
TNKS,Type 2 diabetes
PINX1,Type 2 diabetes
ZNF34,Type 2 diabetes
PTPDC1,Type 2 diabetes
FAM241B,Type 2 diabetes
CAMK2G,Type 2 diabetes
CHUK,Type 2 diabetes
YTHDC2,Type 2 diabetes
NFKBIL1,Type 2 diabetes
HLA-DQB1,Type 2 diabetes
HLA-DOB,Type 2 diabetes
TNIK,Type 2 diabetes
SPATA18,Type 2 diabetes
SLC9B2,Type 2 diabetes
NUDT6,Type 2 diabetes
SPHKAP,Type 2 diabetes
PTH1R,Type 2 diabetes
ATXN7,Type 2 diabetes
WDR11,Type 2 diabetes
FGFR2,Type 2 diabetes
PARP8,Type 2 diabetes
EMB,Type 2 diabetes
NUS1,Type 2 diabetes
ZNF257,Type 2 diabetes
FGFR4,Type 2 diabetes
ZNF346,Type 2 diabetes
USP48,Type 2 diabetes
NFATC2,Type 2 diabetes
DGKD,Type 2 diabetes
ZNF503,Type 2 diabetes
ARL4A,Type 2 diabetes
C17orf58,Type 2 diabetes
ZHX3,Type 2 diabetes
PPIP5K2,Type 2 diabetes
TPCN2,Type 2 diabetes
MRPS35,Type 2 diabetes
ABCC8,Type 2 diabetes
VWA5B1,Type 2 diabetes
MAST2,Type 2 diabetes
PGM1,Type 2 diabetes
TSEN15,Type 2 diabetes
MDM4,Type 2 diabetes
NUP133,Type 2 diabetes
SIX3,Type 2 diabetes
SCTR,Type 2 diabetes
EPC2,Type 2 diabetes
IKZF2,Type 2 diabetes
CASR,Type 2 diabetes
TFRC,Type 2 diabetes
MOB1B,Type 2 diabetes
NKX6-1,Type 2 diabetes
RANBP3L,Type 2 diabetes
HMGCR,Type 2 diabetes
PCSK1,Type 2 diabetes
HMGA1,Type 2 diabetes
GLP1R,Type 2 diabetes
ENPP3,Type 2 diabetes
REPS1,Type 2 diabetes
HIVEP2,Type 2 diabetes
MYL7,Type 2 diabetes
ZNF713,Type 2 diabetes
STEAP1,Type 2 diabetes
CALCR,Type 2 diabetes
RASA4,Type 2 diabetes
GRM8,Type 2 diabetes
ASAH1,Type 2 diabetes
ZNF703,Type 2 diabetes
FGFR1,Type 2 diabetes
NKX6-3,Type 2 diabetes
KCNB2,Type 2 diabetes
GDAP1,Type 2 diabetes
TRIB1,Type 2 diabetes
EFR3A,Type 2 diabetes
DMRT2,Type 2 diabetes
PTCH1,Type 2 diabetes
ABCA1,Type 2 diabetes
PTF1A,Type 2 diabetes
ARID5B,Type 2 diabetes
TSPAN15,Type 2 diabetes
LRMDA,Type 2 diabetes
BTAF1,Type 2 diabetes
MYOF,Type 2 diabetes
ARHGAP19,Type 2 diabetes
BBIP1,Type 2 diabetes
BDNF,Type 2 diabetes
SINHCAF,Type 2 diabetes
DENND5B,Type 2 diabetes
FAIM2,Type 2 diabetes
SH2B3,Type 2 diabetes
ALDH2,Type 2 diabetes
HECTD4,Type 2 diabetes
RBM19,Type 2 diabetes
FGF9,Type 2 diabetes
NYNRIN,Type 2 diabetes
LRRC74A,Type 2 diabetes
DLK1,Type 2 diabetes
TRAF3,Type 2 diabetes
HERC2,Type 2 diabetes
MYO5C,Type 2 diabetes
SIN3A,Type 2 diabetes
RGMA,Type 2 diabetes
IGF1R,Type 2 diabetes
SLX4,Type 2 diabetes
GP2,Type 2 diabetes
PKD1L3,Type 2 diabetes
ZFHX3,Type 2 diabetes
PITPNC1,Type 2 diabetes
SUMO2,Type 2 diabetes
ZNF799,Type 2 diabetes
ZNF738,Type 2 diabetes
EML2,Type 2 diabetes
ZNRF3,Type 2 diabetes
WNT7B,Type 2 diabetes
ANKRD34C,Type 2 diabetes
TRPM1,Type 2 diabetes
ADARB1,Type 2 diabetes
ITGA2,Type 2 diabetes
MASP1,Type 2 diabetes
ANKRD30A,Type 2 diabetes
WNT5A,Type 2 diabetes
RBFOX1,Type 2 diabetes
TMEM114,Type 2 diabetes
PALD1,Type 2 diabetes
GABRG3,Type 2 diabetes
PRKD1,Type 2 diabetes
MYH10,Type 2 diabetes
CCDC42,Type 2 diabetes
OTOL1,Type 2 diabetes
IFNAR2,Type 2 diabetes
LRP1B,Type 2 diabetes
SDK1,Type 2 diabetes
DEPDC5,Type 2 diabetes
CPED1,Type 2 diabetes
TCN2,Type 2 diabetes
KCNQ3,Type 2 diabetes
ZRANB3,Type 2 diabetes
GRSF1,Type 2 diabetes
DLEU7,Type 2 diabetes
KCNRG,Type 2 diabetes
CD86,Type 2 diabetes
SLC1A2,Type 2 diabetes
FANCL,Type 2 diabetes
RTN4RL1,Type 2 diabetes
SOCS6,Type 2 diabetes
ARID1B,Type 2 diabetes
TICRR,Type 2 diabetes
CSMD1,Type 2 diabetes
TREML2,Type 2 diabetes
TGFB1,Type 2 diabetes
SH2B2,Type 2 diabetes
ELFN1,Type 2 diabetes
AVPR1A,Type 2 diabetes
DPY19L2,Type 2 diabetes
SPTB,Type 2 diabetes
HACE1,Type 2 diabetes
CDH2,Type 2 diabetes
TCAF2,Type 2 diabetes
CTAGE6,Type 2 diabetes
AGTR1,Type 2 diabetes
TAF12,Type 2 diabetes
OR7A17,Type 2 diabetes
OR7C2,Type 2 diabetes
ANO4,Type 2 diabetes
PPARA,Type 2 diabetes
EIF4E3,Type 2 diabetes
DSC3,Type 2 diabetes
LRRC32,Type 2 diabetes
HDGFL1,Type 2 diabetes
NRSN1,Type 2 diabetes
UNC5C,Type 2 diabetes
ST18,Type 2 diabetes
LRRC7,Type 2 diabetes
KATNAL1,Type 2 diabetes
AP3B1,Type 2 diabetes
CDH18,Type 2 diabetes
DLG2,Type 2 diabetes
PTPN11,Multiple sclerosis
SFMBT1,Multiple sclerosis
SGSM2,Multiple sclerosis
FAM221B,Multiple sclerosis
LCN6,Multiple sclerosis
RORA,Multiple sclerosis
MEF2C,Multiple sclerosis
PDE4B,Multiple sclerosis
TNIP2,Multiple sclerosis
PAPOLG,Multiple sclerosis
BCL2L11,Multiple sclerosis
SLA,Multiple sclerosis
TG,Multiple sclerosis
IRF8,Multiple sclerosis
L3MBTL3,Multiple sclerosis
RASGEF1A,Multiple sclerosis
MINK1,Multiple sclerosis
AKAP13,Multiple sclerosis
MLLT10,Multiple sclerosis
MYO5B,Multiple sclerosis
IKZF2,Multiple sclerosis
NAB1,Multiple sclerosis
ENTHD1,Multiple sclerosis
EXOC2,Multiple sclerosis
CASP8,Multiple sclerosis
UNK,Multiple sclerosis
SMARCA4,Multiple sclerosis
CCDC12,Multiple sclerosis
FBXO45,Multiple sclerosis
COG6,Multiple sclerosis
TMEM244,Multiple sclerosis
RGCC,Multiple sclerosis
B4GALT5,Multiple sclerosis
RPS6KA5,Multiple sclerosis
ZBTB38,Multiple sclerosis
SCAF11,Multiple sclerosis
TRIM71,Multiple sclerosis
ARHGAP26,Multiple sclerosis
MAPK3,Multiple sclerosis
POU2AF1,Multiple sclerosis
LIPG,Multiple sclerosis
DIRAS2,Multiple sclerosis
MAP3K14,Multiple sclerosis
MPO,Multiple sclerosis
ALPK2,Multiple sclerosis
CD58,Multiple sclerosis
HLA-DRB1,Multiple sclerosis
HLA-B,Multiple sclerosis
IL12A,Multiple sclerosis
IL2RA,Multiple sclerosis
TNFRSF1A,Multiple sclerosis
CXCR4,Multiple sclerosis
CLEC16A,Multiple sclerosis
IL7R,Multiple sclerosis
CD6,Multiple sclerosis
PTGER4,Multiple sclerosis
MPHOSPH9,Multiple sclerosis
ZMIZ1,Multiple sclerosis
RPL5,Multiple sclerosis
EVI5,Multiple sclerosis
CYP27B1,Multiple sclerosis
METTL1,Multiple sclerosis
CD40,Multiple sclerosis
ASAP1,Multiple sclerosis
MLANA,Multiple sclerosis
THADA,Multiple sclerosis
STAT3,Multiple sclerosis
IL12B,Multiple sclerosis
KPNB1,Multiple sclerosis
TBX21,Multiple sclerosis
TBKBP1,Multiple sclerosis
ILDR1,Multiple sclerosis
CD86,Multiple sclerosis
TAGAP,Multiple sclerosis
TNP2,Multiple sclerosis
PRM3,Multiple sclerosis
PRM2,Multiple sclerosis
PRM1,Multiple sclerosis
EOMES,Multiple sclerosis
EPS15L1,Multiple sclerosis
FBXO48,Multiple sclerosis
PLEK,Multiple sclerosis
HLA-DRA,Multiple sclerosis
KIF1B,Multiple sclerosis
PDZRN4,Multiple sclerosis
SLC25A36,Multiple sclerosis
GPC5,Multiple sclerosis
CSMD1,Multiple sclerosis
SH3GL2,Multiple sclerosis
EN1,Multiple sclerosis
ZIC1,Multiple sclerosis
YWHAG,Multiple sclerosis
TRIM2,Multiple sclerosis
POPDC3,Multiple sclerosis
SLC30A7,Multiple sclerosis
VCAM1,Multiple sclerosis
SOX8,Multiple sclerosis
SYK,Multiple sclerosis
TNFSF14,Multiple sclerosis
ZFP36L1,Multiple sclerosis
ZNF746,Multiple sclerosis
CYP24A1,Multiple sclerosis
FCRL3,Multiple sclerosis
MAF,Multiple sclerosis
MPV17L2,Multiple sclerosis
MYNN,Multiple sclerosis
NFKBIZ,Multiple sclerosis
THEMIS,Multiple sclerosis
PTPRK,Multiple sclerosis
RGS1,Multiple sclerosis
SAE1,Multiple sclerosis
SP140,Multiple sclerosis
MALT1,Multiple sclerosis
MAMSTR,Multiple sclerosis
NFKB1,Multiple sclerosis
MANBA,Multiple sclerosis
MAPK1,Multiple sclerosis
MERTK,Multiple sclerosis
MMEL1,Multiple sclerosis
MYB,Multiple sclerosis
MYC,Multiple sclerosis
OLIG3,Multiple sclerosis
NCOA5,Multiple sclerosis
NDFIP1,Multiple sclerosis
ODF3B,Multiple sclerosis
SCO2,Multiple sclerosis
IL7,Multiple sclerosis
PKIA,Multiple sclerosis
PLCL2,Multiple sclerosis
PVR,Multiple sclerosis
RGS14,Multiple sclerosis
RPS6KB1,Multiple sclerosis
RREB1,Multiple sclerosis
AGAP2,Multiple sclerosis
AHI1,Multiple sclerosis
BACH2,Multiple sclerosis
BATF,Multiple sclerosis
KIF21B,Multiple sclerosis
TMEM39A,Multiple sclerosis
CD5,Multiple sclerosis
CDC37,Multiple sclerosis
TYK2,Multiple sclerosis
CHST12,Multiple sclerosis
CLECL1,Multiple sclerosis
CXCR5,Multiple sclerosis
DDAH1,Multiple sclerosis
DKKL1,Multiple sclerosis
EXTL2,Multiple sclerosis
GPR65,Multiple sclerosis
HHEX,Multiple sclerosis
IL22RA2,Multiple sclerosis
TCF7,Multiple sclerosis
SLC15A2,Multiple sclerosis
ZBTB46,Multiple sclerosis
ZNF438,Multiple sclerosis
VAV2,Multiple sclerosis
ZNF433,Multiple sclerosis
CBLB,Multiple sclerosis
HLA-DQB1,Multiple sclerosis
ATXN1,Multiple sclerosis
VANGL2,Multiple sclerosis
STAT4,Multiple sclerosis
TOX2,Multiple sclerosis
CD28,Multiple sclerosis
DOCK10,Multiple sclerosis
LRRC34,Multiple sclerosis
TRIM14,Multiple sclerosis
RHOH,Multiple sclerosis
ASF1A,Multiple sclerosis
ALDH1L1,Multiple sclerosis
