id,node,node.type,node.label,pln
g0185,ACSS3,1,GENE,General
g0186,ACTA1,1,GENE,General
g0187,ACTA2,1,GENE,General
g0188,ACTB,1,GENE,General
g0189,ACTBL2,1,GENE,General
g0190,ACTC1,1,GENE,General
g0191,ACTG1,1,GENE,General
g0192,ACTG2,1,GENE,General
g0193,ACTL10,1,GENE,General
g0194,ACTL6A,1,GENE,General
g0195,ACTL6B,1,GENE,General
g0196,ACTL7A,1,GENE,General
g0197,ACTL7B,1,GENE,General
g0198,ACTL8,1,GENE,General
g0199,ACTL9,1,GENE,General
g0200,ACTN1,1,GENE,General
g0201,ACTN2,1,GENE,General
g0202,ACTN4,1,GENE,General
g0203,ACTR10,1,GENE,General
g0204,ACTR1A,1,GENE,General
g0205,ACTR1B,1,GENE,General
g0206,ACTR2,1,GENE,General
g0207,ACTR3,1,GENE,General
g0208,ACTR3B,1,GENE,General
g0209,ACTR3C,1,GENE,General
g0210,ACTR5,1,GENE,General
g0211,ACTR6,1,GENE,General
g0212,ACTR8,1,GENE,General
g0213,ACTRT2,1,GENE,General
g0214,ACTRT3,1,GENE,General
g0215,ACVR1,1,GENE,General
g0216,ACVR1B,1,GENE,General
g0217,ACVR1C,1,GENE,General
g0218,ACVR2A,1,GENE,General
g0219,ACVR2B,1,GENE,General
g0220,ACVRL1,1,GENE,General
g0221,ACY1,1,GENE,General
g0222,ACY3,1,GENE,General
g0223,ACYP1,1,GENE,General
g0224,ACYP2,1,GENE,General
g0225,ADA,1,GENE,General
g0226,ADAD1,1,GENE,General
g0227,ADAD2,1,GENE,General
g0228,ADAL,1,GENE,General
g0229,ADAM10,1,GENE,General
g0230,ADAM11,1,GENE,General
g0231,ADAM12,1,GENE,General
g0232,ADAM15,1,GENE,General
g0233,ADAM17,1,GENE,General
g0234,ADAM18,1,GENE,General
g0235,ADAM19,1,GENE,General
g0236,ADAM2,1,GENE,General
g0237,ADAM20,1,GENE,General
g0238,ADAM21,1,GENE,General
g0239,ADAM22,1,GENE,General
g0240,ADAM23,1,GENE,General
g0241,ADAM28,1,GENE,General
g0242,ADAM29,1,GENE,General
g0243,ADAM30,1,GENE,General
g0244,ADAM32,1,GENE,General
g0245,ADAM33,1,GENE,General
g0246,ADAM7,1,GENE,General
g0247,ADAM8,1,GENE,General
g0248,ADAM9,1,GENE,General
g0249,ADAMDEC1,1,GENE,General
g0250,ADAMTS1,1,GENE,General
g0251,ADAMTS10,1,GENE,General
g0252,ADAMTS12,1,GENE,General
g0253,ADAMTS13,1,GENE,General
g0254,ADAMTS14,1,GENE,General
g0255,ADAMTS15,1,GENE,General
g0256,ADAMTS16,1,GENE,General
g0257,ADAMTS17,1,GENE,General
g0258,ADAMTS18,1,GENE,General
g0259,ADAMTS19,1,GENE,General
g0260,ADAMTS2,1,GENE,General
g0261,ADAMTS20,1,GENE,General
g0262,ADAMTS3,1,GENE,General
g0263,ADAMTS4,1,GENE,General
g0264,ADAMTS5,1,GENE,General
g0265,ADAMTS6,1,GENE,General
g0266,ADAMTS7,1,GENE,General
g0267,ADAMTS8,1,GENE,General
g0268,ADAMTS9,1,GENE,General
g0269,ADAMTSL1,1,GENE,General
g0270,ADAMTSL2,1,GENE,General
g0271,ADAMTSL3,1,GENE,General
g0272,ADAMTSL4,1,GENE,General
g0273,ADAMTSL5,1,GENE,General
g0274,ADAP1,1,GENE,General
g0275,ADAP2,1,GENE,General
g0276,ADAR,1,GENE,General
g0277,ADARB1,1,GENE,General
g0278,ADARB2,1,GENE,General
g0279,ADAT1,1,GENE,General
g0280,ADAT2,1,GENE,General
g0281,ADAT3,1,GENE,General
g0282,ADCK1,1,GENE,General
g0283,ADCK2,1,GENE,General
g0284,ADCK5,1,GENE,General
g0285,ADCY1,1,GENE,General
g0286,ADCY10,1,GENE,General
g0287,ADCY2,1,GENE,General
g0288,ADCY3,1,GENE,General
g0289,ADCY4,1,GENE,General
g0290,ADCY5,1,GENE,General
g0291,ADCY6,1,GENE,General
g0292,ADCY7,1,GENE,General
g0293,ADCY8,1,GENE,General
g0294,ADCY9,1,GENE,General
g0295,ADCYAP1,1,GENE,General
g0296,ADCYAP1R1,1,GENE,General
g0297,ADD1,1,GENE,General
g0298,ADD2,1,GENE,General
g0299,ADD3,1,GENE,General
g0300,ADGB,1,GENE,General
g0301,ADGRA1,1,GENE,General
g0302,ADGRA2,1,GENE,General
g0303,ADGRA3,1,GENE,General
g0304,ADGRB1,1,GENE,General
g0305,ADGRB2,1,GENE,General
g0306,ADGRB3,1,GENE,General
g0307,ADGRD1,1,GENE,General
g0308,ADGRD2,1,GENE,General
g0309,ADGRE1,1,GENE,General
g0310,ADGRE2,1,GENE,General
g0311,ADGRE3,1,GENE,General
g0312,ADGRE5,1,GENE,General
g0313,ADGRF1,1,GENE,General
g0314,ADGRF2,1,GENE,General
g0315,ADGRF3,1,GENE,General
g0316,ADGRF4,1,GENE,General
g0317,ADGRF5,1,GENE,General
g0318,ADGRG1,1,GENE,General
g0319,ADGRG3,1,GENE,General
g0320,ADGRG5,1,GENE,General
g0321,ADGRG6,1,GENE,General
g0322,ADGRG7,1,GENE,General
g0323,ADGRL1,1,GENE,General
g0324,ADGRL2,1,GENE,General
g0325,ADGRL3,1,GENE,General
g0326,ADGRL4,1,GENE,General
g0327,ADGRV1,1,GENE,General
g0328,ADH1A,1,GENE,General
g0329,ADH1B,1,GENE,General
g0330,ADH4,1,GENE,General
g0331,ADH5,1,GENE,General
g0332,ADH6,1,GENE,General
g0333,ADH7,1,GENE,General
g0334,ADHFE1,1,GENE,General
g0335,ADI1,1,GENE,General
g0336,ADIG,1,GENE,General
g0337,ADIPOQ,1,GENE,General
g0338,ADIPOR1,1,GENE,General
g0339,ADIPOR2,1,GENE,General
g0340,ADIRF,1,GENE,General
g0341,ADK,1,GENE,General
g0342,ADM,1,GENE,General
g0343,ADM2,1,GENE,General
g0344,ADM5,1,GENE,General
g0345,ADNP,1,GENE,General
g0346,ADNP2,1,GENE,General
g0347,ADO,1,GENE,General
g0348,ADORA1,1,GENE,General
g0349,ADORA2A,1,GENE,General
g0350,ADORA2B,1,GENE,General
g0351,ADPGK,1,GENE,General
g0352,ADPRH,1,GENE,General
g0353,ADPRHL1,1,GENE,General
g0354,ADPRHL2,1,GENE,General
g0355,ADPRM,1,GENE,General
g0356,ADRA1A,1,GENE,General
g0357,ADRA1B,1,GENE,General
g0358,ADRA1D,1,GENE,General
g0359,ADRA2A,1,GENE,General
g0360,ADRA2C,1,GENE,General
g0361,ADRB1,1,GENE,General
g0362,ADRB2,1,GENE,General
g0363,ADRB3,1,GENE,General
g0364,ADRM1,1,GENE,General
g0365,ADSL,1,GENE,General
g0366,ADSS,1,GENE,General
g0367,ADSSL1,1,GENE,General
g0368,ADTRP,1,GENE,General
g0369,AEBP1,1,GENE,General
g0370,AEBP2,1,GENE,General
g0371,AEN,1,GENE,General
g0372,AFAP1,1,GENE,General
g0373,AFAP1L1,1,GENE,General
g0374,AFAP1L2,1,GENE,General
g0375,AFF1,1,GENE,General
g0376,AFF3,1,GENE,General
g0377,AFF4,1,GENE,General
g0378,AFG3L2,1,GENE,General
g0379,AFM,1,GENE,General
g0380,AFMID,1,GENE,General
g0381,AFP,1,GENE,General
g0382,AFTPH,1,GENE,General
g0383,AGA,1,GENE,General
g0384,AGAP1,1,GENE,General
g0385,AGAP2,1,GENE,General
g0386,AGAP3,1,GENE,General
g0387,AGAP4,1,GENE,General
g0388,AGAP5,1,GENE,General
g0389,AGAP6,1,GENE,General
g0390,AGAP9,1,GENE,General
g0391,AGBL2,1,GENE,General
g0392,AGBL3,1,GENE,General
g0393,AGBL4,1,GENE,General
g0394,AGBL5,1,GENE,General
g0395,AGER,1,GENE,General
g0396,AGFG1,1,GENE,General
g0397,AGFG2,1,GENE,General
g0398,AGGF1,1,GENE,General
g0399,AGK,1,GENE,General
g0400,AGL,1,GENE,General
g0401,AGMAT,1,GENE,General
g0402,AGMO,1,GENE,General
g0403,AGO1,1,GENE,General
g0404,AGO2,1,GENE,General
g0405,AGO3,1,GENE,General
g0406,AGO4,1,GENE,General
g0407,AGPAT1,1,GENE,General
g0408,AGPAT2,1,GENE,General
g0409,AGPAT3,1,GENE,General
g0410,AGPAT4,1,GENE,General
g0411,AGPAT5,1,GENE,General
g0412,AGPS,1,GENE,General
g0413,AGR2,1,GENE,General
g0414,AGR3,1,GENE,General
g0415,AGRN,1,GENE,General
g0416,AGRP,1,GENE,General
g0417,AGT,1,GENE,General
g0418,AGTPBP1,1,GENE,General
g0419,AGTR1,1,GENE,General
g0420,AGTRAP,1,GENE,General
g0421,AGXT,1,GENE,General
g0422,AGXT2,1,GENE,General
g0423,AHCTF1,1,GENE,General
g0424,AHCY,1,GENE,General
g0425,AHCYL1,1,GENE,General
g0426,AHCYL2,1,GENE,General
g0427,AHDC1,1,GENE,General
g0428,AHI1,1,GENE,General
g0429,AHNAK,1,GENE,General
