trait,generalSWL,generalSum,generalPval,t2dSWL,t2dSum,t2dPval,nervousSWL,nervousSum,nervousPval
Breast cancer,70.789674507042,125.665945104269,0,76.205026865387,129.172208588037,0,37.788360398021,56.609646255982,0
Breast cancer,79.961114290575,125.665945104269,0,85.320780889986,129.172208588037,0,48.421841884498,56.609646255982,0
Breast cancer,73.291756088005,125.665945104269,0,76.733831700394,129.172208588037,0,43.418605438915,56.609646255982,0
Breast cancer,69.240493482166,125.665945104269,0,78.981247212835,129.172208588037,0,44.613554740746,56.609646255982,0
Breast cancer,71.692303136106,125.665945104269,0,79.743362160185,129.172208588037,0,36.359313592265,56.609646255982,0
Breast cancer,77.808743487351,125.665945104269,0,80.831177622212,129.172208588037,0,36.534828980011,56.609646255982,0
Breast cancer,69.279480993024,125.665945104269,0,72.747729953393,129.172208588037,0,40.983758821638,56.609646255982,0
Breast cancer,69.397777130293,125.665945104269,0,76.388138710872,129.172208588037,0,40.41474382121,56.609646255982,0
Breast cancer,68.839883843506,125.665945104269,0,76.240890151887,129.172208588037,0,39.535552331673,56.609646255982,0
Breast cancer,79.258403162214,125.665945104269,0,75.255868909728,129.172208588037,0,37.6519297852,56.609646255982,0
Breast cancer,75.206640118515,125.665945104269,0,89.862374929562,129.172208588037,0,39.572552077091,56.609646255982,0
Breast cancer,76.521592899005,125.665945104269,0,87.677142359496,129.172208588037,0,34.797041951552,56.609646255982,0
Breast cancer,72.511354081832,125.665945104269,0,73.910565900508,129.172208588037,0,39.713220123628,56.609646255982,0
Breast cancer,72.190010627737,125.665945104269,0,80.409920773646,129.172208588037,0,37.775703284826,56.609646255982,0
Breast cancer,63.506702941485,125.665945104269,0,80.62076290613,129.172208588037,0,36.417340092784,56.609646255982,0
Breast cancer,74.798037969303,125.665945104269,0,78.928435022693,129.172208588037,0,34.519213810053,56.609646255982,0
Breast cancer,68.996010622006,125.665945104269,0,74.094500280706,129.172208588037,0,42.084468851174,56.609646255982,0
Breast cancer,71.122437203489,125.665945104269,0,73.725321793702,129.172208588037,0,39.158566698843,56.609646255982,0
Breast cancer,76.782466752281,125.665945104269,0,77.378649745877,129.172208588037,0,34.421605702258,56.609646255982,0
Breast cancer,71.480601615051,125.665945104269,0,84.027528765923,129.172208588037,0,47.104164083019,56.609646255982,0
Breast cancer,69.287997937726,125.665945104269,0,82.524184325643,129.172208588037,0,31.277998450668,56.609646255982,0
Breast cancer,65.513351293605,125.665945104269,0,68.463170355288,129.172208588037,0,33.725102504316,56.609646255982,0
Breast cancer,80.83590660485,125.665945104269,0,81.531527198314,129.172208588037,0,40.44203112073,56.609646255982,0
Breast cancer,71.125274014757,125.665945104269,0,79.996187931543,129.172208588037,0,37.551849428407,56.609646255982,0
Breast cancer,68.486122379886,125.665945104269,0,78.126898700252,129.172208588037,0,39.515552098379,56.609646255982,0
Breast cancer,70.925827805229,125.665945104269,0,69.588115412275,129.172208588037,0,38.484763919019,56.609646255982,0
Breast cancer,71.061782734292,125.665945104269,0,87.78910911517,129.172208588037,0,41.81985478654,56.609646255982,0
Breast cancer,71.838959881057,125.665945104269,0,77.797034223774,129.172208588037,0,41.203239480017,56.609646255982,0
Breast cancer,69.786627272392,125.665945104269,0,84.963398617619,129.172208588037,0,38.286591940667,56.609646255982,0
Breast cancer,79.423741592231,125.665945104269,0,79.126831053596,129.172208588037,0,46.617318199011,56.609646255982,0
Breast cancer,72.066827708245,125.665945104269,0,73.380375793926,129.172208588037,0,32.605209144257,56.609646255982,0
Breast cancer,76.937735469485,125.665945104269,0,88.179973351358,129.172208588037,0,36.051666787605,56.609646255982,0
Breast cancer,73.664580681899,125.665945104269,0,86.612417453504,129.172208588037,0,35.213176117147,56.609646255982,0
Breast cancer,68.382469440199,125.665945104269,0,73.282975765915,129.172208588037,0,35.248309064675,56.609646255982,0
Breast cancer,77.068648473505,125.665945104269,0,70.506059119021,129.172208588037,0,34.837733976715,56.609646255982,0
Breast cancer,71.685963177457,125.665945104269,0,85.440953213315,129.172208588037,0,37.747209946376,56.609646255982,0
