gene,trait
NEFM,Parkinson's disease
NME8,Parkinson's disease
NPC1,Parkinson's disease
NR4A2,Parkinson's disease
PRKN,Parkinson's disease
PARK7,Parkinson's disease
PARL,Parkinson's disease
PINK1,Parkinson's disease
PITX3,Parkinson's disease
PLA2G6,Parkinson's disease
PLXNA4,Parkinson's disease
PTK2B,Parkinson's disease
SETX,Parkinson's disease
SLC41A1,Parkinson's disease
SMPD1,Parkinson's disease
SNCA,Parkinson's disease
SNCAIP,Parkinson's disease
SORL1,Parkinson's disease
SPG11,Parkinson's disease
TREM2,Parkinson's disease
UCHL1,Parkinson's disease
VPS35,Parkinson's disease
ACMSD,Parkinson's disease
ABCB1,Parkinson's disease
ATG5,Parkinson's disease
ATG7,Parkinson's disease
GLA,Parkinson's disease
LAMP2,Parkinson's disease
SIRT1,Parkinson's disease
PRNP,Parkinson's disease
C9orf72,Parkinson's disease
TBP,Parkinson's disease
SLC6A3,Parkinson's disease
PSEN2,Parkinson's disease
ADH1C,Parkinson's disease
BDNF,Parkinson's disease
CYP2D6,Parkinson's disease
MAOB,Parkinson's disease
CHRNB3,Parkinson's disease
HMOX2,Parkinson's disease
HSPA1A,Parkinson's disease
IL1B,Parkinson's disease
NQO2,Parkinson's disease
DRD4,Parkinson's disease
FMR1,Parkinson's disease
POLG,Parkinson's disease
GRN,Parkinson's disease
ZFYVE26,Parkinson's disease
CHCHD2,Parkinson's disease
ATXN2,Parkinson's disease
GLUD2,Parkinson's disease
PACRG,Parkinson's disease
MTX1,Parkinson's disease
RAB29,Parkinson's disease
DBH,Parkinson's disease
FGF20,Parkinson's disease
GAK,Parkinson's disease
HLA-DRA,Parkinson's disease
ASCL1,Parkinson's disease
USP24,Parkinson's disease
GSK3B,Parkinson's disease
ASAH1,Spinal muscular atrophy
BICD2,Spinal muscular atrophy
SMN2,Spinal muscular atrophy
BSCL2,Spinal muscular atrophy
FBXO38,Spinal muscular atrophy
DYNC1H1,Spinal muscular atrophy
GARS1,Spinal muscular atrophy
LMNA,Spinal muscular atrophy
SETX,Spinal muscular atrophy
SMN1,Spinal muscular atrophy
NAIP,Spinal muscular atrophy
EXOSC8,Spinal muscular atrophy
IGHMBP2,Spinal muscular atrophy
LAS1L,Spinal muscular atrophy
TRPV4,Spinal muscular atrophy
UBA1,Spinal muscular atrophy
VRK1,Spinal muscular atrophy
AFG3L2,Spinocerebellar ataxia
ANO10,Spinocerebellar ataxia
TTC19,Spinocerebellar ataxia
CACNA1A,Spinocerebellar ataxia
EEF2,Spinocerebellar ataxia
ELOVL4,Spinocerebellar ataxia
ELOVL5,Spinocerebellar ataxia
GJB1,Spinocerebellar ataxia
ITPR1,Spinocerebellar ataxia
KCNC3,Spinocerebellar ataxia
KCND3,Spinocerebellar ataxia
PDYN,Spinocerebellar ataxia
POLG,Spinocerebellar ataxia
PRKCG,Spinocerebellar ataxia
SPTBN2,Spinocerebellar ataxia
SYT14,Spinocerebellar ataxia
TDP1,Spinocerebellar ataxia
TGM6,Spinocerebellar ataxia
TMEM240,Spinocerebellar ataxia
TPP1,Spinocerebellar ataxia
ATXN7,Spinocerebellar ataxia
CNTN4,Spinocerebellar ataxia
TTBK2,Spinocerebellar ataxia
FGF14,Spinocerebellar ataxia
BEAN1,Spinocerebellar ataxia
ATXN1,Spinocerebellar ataxia
ATXN10,Spinocerebellar ataxia
ATXN2,Spinocerebellar ataxia
ATXN8,Spinocerebellar ataxia
ATXN8OS,Spinocerebellar ataxia
NOP56,Spinocerebellar ataxia
PPP2R2B,Spinocerebellar ataxia
